iter	RMSE
0	0.9629978208
1	0.9303372156
2	0.8946904521
3	0.8633493407
4	0.8313073041
5	0.8044941017
6	0.7757743006
7	0.7476312554
8	0.7207100734
9	0.6943259836
10	0.6676901353
11	0.6438542531
12	0.6204555694
13	0.5976184821
14	0.574744453
15	0.5538694098
16	0.5350896937
17	0.5167382309
18	0.4977391949
19	0.4805869679
20	0.4631729996
21	0.4467204067
22	0.4294452229
23	0.4135221128
24	0.3998623024
25	0.3861547168
26	0.3728706912
27	0.3598862383
28	0.3465219074
29	0.3334923256
30	0.3211706902
31	0.3090282944
32	0.2980588673
33	0.2874730304
34	0.2774576857
35	0.2674352946
36	0.2573565069
37	0.2482919304
38	0.2393611763
39	0.2308887867
40	0.2227440218
41	0.2148706618
42	0.2079618133
43	0.2009035609
44	0.1944695081
45	0.1881011263
46	0.1815203741
47	0.1751732809
48	0.1691617962
49	0.1636796979
50	0.1576710035
51	0.1524388741
52	0.1466966223
53	0.1415403916
54	0.136774901
55	0.1327208654
56	0.1283772505
57	0.1241868055
58	0.1204692012
59	0.1163884441
60	0.1125701697
61	0.1089749662
62	0.1052676354
63	0.1015246677
64	0.09813167134
65	0.09474735516
66	0.09174720908
67	0.08904537333
68	0.08645516346
69	0.08375687194
70	0.08122568248
71	0.07871479067
72	0.07652216601
73	0.07436740367
74	0.0720602231
75	0.06998818658
76	0.06795850976
77	0.06593546945
78	0.06400553407
79	0.06230338407
80	0.0606368477
81	0.05903863962
82	0.05742466863
83	0.05594156321
84	0.05442717966
85	0.05314783662
86	0.05174175129
87	0.0504046831
88	0.04920224763
89	0.04785498955
90	0.04676878984
91	0.04571149068
92	0.04464934517
93	0.04364499576
94	0.04265464201
95	0.04170446694
96	0.04076640756
97	0.03986527901
98	0.03901947016
99	0.03825339448
100	0.03739091743
101	0.03673389625
102	0.03601713056
103	0.03530081181
104	0.03469927571
105	0.03406645696
106	0.03346895665
107	0.0329098277
108	0.03239105697
109	0.03191231219
110	0.03144533306
111	0.03101127223
112	0.03053399895
113	0.03010860175
114	0.02967893914
115	0.0292836673
116	0.02882953098
117	0.02845386708
118	0.02804748033
119	0.02772763604
120	0.02737219139
121	0.02700714548
122	0.02663057678
123	0.02632554553
124	0.02603256273
125	0.02566899385
126	0.02538027667
127	0.02511164672
128	0.02482041798
129	0.02452605785
130	0.02425915169
131	0.02402633855
132	0.02376660136
133	0.02353944522
134	0.02332567533
135	0.02314571864
136	0.02294069135
137	0.02275032158
138	0.0225234614
139	0.02231041969
140	0.02212296994
141	0.02194092901
142	0.02173678088
143	0.021555836
144	0.02135807606
145	0.02119573329
146	0.02100341407
147	0.02081613325
148	0.02065123349
149	0.02047703075
150	0.02032218968
151	0.0201404939
152	0.02000831592
153	0.01984523273
154	0.0196979749
155	0.0195298469
156	0.01938803483
157	0.01926205595
158	0.0191170382
159	0.01895267488
160	0.01882379901
161	0.01866594866
162	0.01853777825
163	0.01840060684
164	0.01827791716
