iter	Passed	Remaining
0	73	73211
1	79	39805
2	85	28464
3	91	22840
4	97	19394
5	101	16807
6	105	14937
7	107	13375
8	110	12122
9	112	11097
10	113	10243
11	115	9523
12	117	8911
13	118	8376
14	120	7908
15	122	7503
16	123	7146
17	125	6833
18	126	6541
19	128	6297
20	130	6068
21	131	5846
22	132	5643
23	134	5463
24	136	5329
25	138	5184
26	139	5043
27	141	4913
28	142	4787
29	144	4681
30	146	4573
31	147	4461
32	148	4364
33	150	4268
34	151	4183
35	153	4097
36	154	4019
37	156	3956
38	158	3899
39	160	3853
40	162	3794
41	163	3732
42	165	3674
43	166	3616
44	168	3576
45	170	3542
46	172	3495
47	174	3452
48	176	3419
49	177	3379
50	179	3334
51	180	3291
52	181	3241
53	183	3219
54	185	3189
55	187	3155
56	188	3117
57	189	3082
58	191	3048
59	192	3017
60	194	2989
61	195	2961
62	197	2931
63	198	2899
64	200	2879
65	201	2847
66	202	2818
67	203	2794
68	205	2769
69	206	2745
70	208	2722
71	209	2700
72	210	2678
73	212	2657
74	213	2637
75	215	2618
76	216	2598
77	218	2577
78	219	2555
79	220	2534
80	221	2513
81	222	2494
82	224	2475
83	225	2457
84	226	2440
85	227	2423
86	229	2407
87	230	2390
88	232	2374
89	232	2353
90	233	2337
91	235	2321
92	236	2306
93	237	2290
94	238	2275
95	240	2261
96	241	2246
97	242	2232
98	243	2217
99	244	2203
100	246	2191
101	247	2178
102	248	2164
103	249	2151
104	250	2138
105	252	2125
106	253	2113
107	254	2102
108	255	2091
109	257	2080
110	258	2069
111	259	2058
112	260	2048
113	262	2037
114	263	2027
115	264	2017
116	265	2007
117	267	1997
118	268	1986
119	269	1976
120	270	1967
121	272	1958
122	272	1946
123	274	1937
124	275	1929
125	276	1920
126	278	1911
127	279	1901
128	280	1892
129	281	1884
130	282	1876
131	284	1867
132	285	1859
133	286	1851
134	287	1843
135	288	1835
136	290	1827
137	291	1820
138	292	1813
139	294	1806
140	295	1798
141	296	1792
142	297	1785
143	299	1777
144	300	1770
145	301	1764
146	302	1758
147	304	1751
148	305	1744
149	306	1738
150	307	1731
151	309	1725
152	310	1718
153	311	1711
154	312	1705
155	314	1699
156	315	1693
157	316	1687
158	317	1680
159	318	1674
160	320	1669
161	321	1664
162	323	1660
163	324	1654
164	325	1649
165	327	1643
166	328	1637
167	329	1631
168	330	1626
169	331	1620
170	333	1614
171	334	1609
172	335	1604
173	336	1598
174	337	1593
175	339	1587
176	340	1582
177	341	1577
178	342	1572
179	344	1567
180	345	1562
181	346	1557
182	347	1552
183	348	1547
184	350	1542
185	351	1537
186	352	1532
187	353	1527
188	354	1522
189	356	1518
190	357	1514
191	358	1509
192	359	1505
193	361	1500
194	362	1495
195	363	1491
196	364	1487
197	366	1484
198	368	1482
199	370	1480
200	371	1476
201	372	1472
202	373	1467
203	375	1463
204	376	1459
205	377	1455
206	378	1451
207	380	1446
208	381	1443
209	382	1439
210	383	1435
211	385	1431
212	386	1427
213	387	1423
214	388	1419
215	390	1415
216	391	1412
217	392	1408
218	393	1404
219	395	1401
220	396	1398
221	398	1395
222	399	1392
223	400	1388
224	401	1384
225	403	1380
226	404	1377
227	405	1373
228	406	1369
229	407	1365
230	409	1362
231	410	1358
232	411	1355
233	413	1352
234	414	1348
235	415	1344
236	416	1341
237	417	1337
238	418	1333
239	420	1330
240	421	1326
241	422	1323
242	423	1319
243	424	1316
244	426	1313
245	427	1310
246	428	1306
247	430	1304
248	431	1300
249	432	1297
250	433	1294
251	435	1291
252	436	1288
253	437	1284
254	438	1281
255	439	1278
256	441	1275
257	442	1271
258	443	1268
259	444	1265
260	445	1262
261	447	1259
262	448	1256
263	449	1253
264	450	1250
265	451	1246
266	453	1243
267	454	1240
268	455	1238
269	456	1235
270	458	1232
271	459	1229
272	460	1226
273	461	1223
274	463	1220
275	464	1217
276	465	1215
277	466	1212
278	468	1209
279	469	1206
280	470	1203
281	471	1200
282	472	1198
283	473	1194
284	475	1192
285	476	1189
286	477	1186
287	478	1184
288	480	1181
289	481	1178
290	482	1175
291	483	1172
292	484	1170
293	486	1167
294	487	1164
295	488	1161
296	489	1159
297	491	1156
298	492	1154
299	493	1151
300	494	1148
301	496	1146
302	497	1143
303	498	1141
304	499	1138
305	500	1135
306	502	1133
307	503	1131
308	504	1128
309	506	1126
310	507	1123
311	508	1121
312	509	1119
313	511	1116
314	512	1114
315	513	1111
316	514	1109
317	516	1106
318	517	1104
319	518	1101
320	519	1099
321	520	1096
322	522	1094
323	523	1092
324	524	1089
325	525	1087
326	527	1084
327	528	1082
328	529	1079
329	530	1077
330	531	1075
331	533	1072
332	534	1070
333	536	1069
334	537	1067
335	538	1064
336	540	1062
337	541	1060
338	542	1057
339	543	1055
340	544	1053
341	546	1050
342	547	1048
343	548	1046
344	549	1044
345	551	1042
346	552	1040
347	554	1037
348	555	1035
349	556	1033
350	558	1032
351	559	1030
352	561	1028
353	562	1026
354	563	1024
355	564	1021
356	566	1019
357	567	1017
358	568	1015
359	569	1012
360	570	1010
361	572	1008
362	573	1005
363	574	1003
364	575	1001
365	577	1000
366	579	999
367	582	1001
368	587	1004
369	602	1026
370	608	1031
371	610	1030
372	611	1028
373	613	1026
374	614	1024
375	624	1037
376	626	1035
377	628	1033
378	629	1031
379	631	1030
380	632	1028
381	634	1025
382	635	1023
383	636	1021
384	637	1018
385	639	1016
386	640	1014
387	641	1011
388	642	1009
389	643	1007
390	645	1004
391	646	1002
392	647	1000
393	648	997
394	650	995
395	651	993
396	652	991
397	654	989
398	655	987
399	656	985
400	658	983
401	659	980
402	660	978
403	661	976
404	663	974
405	664	971
406	665	969
407	666	967
408	667	964
409	668	962
410	670	960
411	671	958
412	672	955
413	673	953
414	674	951
415	676	949
416	677	947
417	679	945
418	680	943
419	681	941
420	682	939
421	684	937
422	685	935
423	686	932
424	687	930
425	689	928
426	690	926
427	691	924
428	692	922
429	694	920
430	695	918
431	696	916
432	698	914
433	699	912
434	700	910
435	702	908
436	703	906
437	704	903
438	705	901
439	706	899
440	708	897
441	709	895
442	710	893
443	711	891
444	713	889
445	714	887
446	715	885
447	716	883
448	717	880
449	719	878
450	720	876
451	721	874
452	723	873
453	724	871
454	725	869
455	726	867
456	728	865
457	729	863
458	730	860
459	731	858
460	732	856
461	734	854
462	735	852
463	736	850
464	738	849
465	739	847
466	740	845
467	741	843
468	743	841
469	744	839
470	745	837
471	747	835
472	748	833
473	749	831
474	750	829
475	752	827
476	753	826
477	754	824
478	755	822
479	757	820
480	758	818
481	759	816
482	760	814
483	762	812
484	763	810
485	764	808
486	765	806
487	767	805
488	768	803
489	769	801
490	771	799
491	772	797
492	773	795
493	775	793
494	776	792
495	777	790
496	778	788
497	779	786
498	781	784
499	782	782
500	783	780
501	784	778
502	786	776
503	787	774
504	788	773
505	789	771
506	791	769
507	792	767
508	793	765
509	795	763
510	796	762
511	797	760
512	798	758
513	800	756
514	801	754
515	802	752
516	803	750
517	805	749
518	806	747
519	807	745
520	808	743
521	809	741
522	811	739
523	812	738
524	813	736
525	815	734
526	816	732
527	817	730
528	818	728
529	819	727
530	821	725
531	822	723
532	823	721
533	824	719
534	826	718
535	827	716
536	828	714
537	829	712
538	831	710
539	832	709
540	833	707
541	834	705
542	836	703
543	837	701
544	838	699
545	839	698
546	840	696
547	842	694
548	843	692
549	844	691
550	846	689
551	847	687
552	848	685
553	849	684
554	851	682
555	852	680
556	853	678
557	854	677
558	855	675
559	857	673
560	858	671
561	859	670
562	861	668
563	862	666
564	863	664
565	864	663
566	866	661
567	867	659
568	868	657
569	869	656
570	870	654
571	872	652
572	873	650
